id,name,week,month,day,hour,minute,second,year,lat,lon,type,cluster_db
1926519617,Wz静2520,Sun,Jan,1,23,42,1,2017,30.6005,114.352,住宅区,-1
1926519617,Wz静2520,Sun,Aug,20,5,55,50,2017,30.5961,114.28057,住宅区,17
1926519617,Wz静2520,Sun,Aug,20,6,0,49,2017,30.60149,114.26959,综合体育馆,17
2137075725,薄翅腻烟光1993,Sun,Jan,1,11,11,58,2017,30.607615,114.372566,住宅区,-1
2137075725,薄翅腻烟光1993,Mon,Feb,13,20,7,22,2017,30.607615,114.372566,住宅区,-1
5746495047,莱斯蘭佧门窗,Mon,Jan,2,21,50,32,2017,30.5882,114.35144,住宅区,21
5746495047,莱斯蘭佧门窗,Mon,Apr,3,21,16,2,2017,30.769596,114.208496,飞机场,35
6017097060,武汉十拾,Tue,Jan,3,21,52,38,2017,30.593531,114.353699,住宅区,-1
6017097060,武汉十拾,Fri,Feb,24,18,39,8,2017,30.523609,114.333115,楼宇机构,-1
6017097060,武汉十拾,Fri,Mar,10,18,2,24,2017,30.545294,114.336342,其他,40
6017097060,武汉十拾,Sat,Mar,11,14,51,18,2017,30.590473,114.305565,港口码头,17
6017097060,武汉十拾,Sun,Apr,16,9,5,0,2017,30.593531,114.353699,住宅区,-1
6017097060,武汉十拾,Mon,May,15,16,49,31,2017,30.421312,114.30574,高校中心点,4
6017097060,武汉十拾,Fri,May,26,15,10,29,2017,30.504049,114.326889,公园户外,-1
6017097060,武汉十拾,Sun,Jun,11,20,47,49,2017,30.593531,114.353699,住宅区,-1
6017097060,武汉十拾,Sun,Aug,6,21,57,50,2017,30.505285,114.401245,特色商业街,9
6017097060,武汉十拾,Sun,Oct,1,14,15,18,2017,30.59271,114.348709,生活娱乐,21
6017097060,武汉十拾,Sat,Nov,25,16,31,58,2017,30.589334,114.346588,湖北菜,21
3624657270,难得的冠冕唐皇,Tue,Jan,3,17,27,47,2017,30.58135,114.366417,住宅区,-1
3624657270,难得的冠冕唐皇,Tue,May,9,15,37,15,2017,30.433119,114.344307,海滨浴场,5
5144699176,塔普的爆炸可乐汁_s,Tue,Jan,3,19,39,44,2017,30.6005,114.352,住宅区,-1
5144699176,塔普的爆炸可乐汁_s,Fri,May,12,21,51,59,2017,30.589039,114.34376,火锅店,21
5144699176,塔普的爆炸可乐汁_s,Fri,Jun,30,20,4,28,2017,30.59353,114.3537,住宅区,-1
2109717880,暮光随风Gene,Mon,Jan,2,21,49,57,2017,30.57686,114.29726,特色商业街,17
2109717880,暮光随风Gene,Tue,Jan,3,1,23,55,2017,30.60962,114.36642,住宅区,-1
2109717880,暮光随风Gene,Thu,Jan,19,9,22,55,2017,30.660121,114.295082,楼宇机构,-1
2109717880,暮光随风Gene,Sun,Jan,22,16,0,39,2017,30.589552,114.299484,美术馆,17
2109717880,暮光随风Gene,Sat,Jan,28,18,11,28,2017,30.589552,114.299484,美术馆,17
2109717880,暮光随风Gene,Wed,Feb,1,9,18,53,2017,30.58556,114.2916,快餐厅,17
2109717880,暮光随风Gene,Mon,Apr,3,16,59,21,2017,30.589321,114.34658,健身中心,21
2109717880,暮光随风Gene,Fri,Jul,21,22,3,17,2017,30.60962,114.36642,住宅区,-1
2109717880,暮光随风Gene,Sat,Sep,23,14,57,5,2017,30.60962,114.36642,住宅区,-1
2109717880,暮光随风Gene,Sun,Nov,12,0,1,23,2017,30.60962,114.36642,住宅区,-1
6059277155,迷迷迷梦,Thu,Jan,5,22,0,25,2017,30.5882,114.35144,住宅区,21
6059277155,迷迷迷梦,Sun,Mar,26,22,24,46,2017,30.433119,114.344307,海滨浴场,5
5091786015,w一九九五,Fri,Jan,6,21,12,49,2017,30.58033,114.35523,住宅区,21
5091786015,w一九九五,Wed,Feb,15,13,9,38,2017,30.42438,114.4142,公园户外,36
5091786015,w一九九五,Mon,Apr,17,23,34,5,2017,30.59006987,114.2117656,4S店,-1
2154335780,Neil桀骜,Mon,Jan,9,0,0,45,2017,30.577299,114.358009,住宅区,-1
2154335780,Neil桀骜,Sat,Jan,14,1,34,27,2017,30.577299,114.358009,住宅区,-1
2154335780,Neil桀骜,Tue,Jan,17,2,45,34,2017,30.577299,114.358009,住宅区,-1
