order,ctr_bias,cvr_bias,pctr,pcvr,exposure_cnt,click_cnt,active_cnt
0,-0.2102494568553357,0.46194365047226515,0.01800368511044572,0.08692364270807666,244918137464542,5583318761885,331970664551
1,-0.26504017533954594,0.4541061051492088,0.01675463900199106,0.08645764117022695,244918137464542,5583318761885,331970664551
2,-0.27719526701612707,0.43459654413949833,0.01647754334826426,0.08529764973686926,244918137464542,5583318761885,331970664551
3,-0.1692333021942194,0.7454149822026332,0.01913269590553941,0.09838583125571852,73351674313722,1689301319508,95222807330
8,0.25875646833410326,0.009035917840663599,0.030948834409929495,0.019127999870785672,529932971596,13029373194,246994031
9,0.04441108871226995,-0.6290277543656422,0.0255506154570973,0.006637188754144942,208187540356,5093128409,91122867
4,-0.026055815667502813,1.0610441986275148,0.02282030345954117,0.10263425927327596,23141615444636,542226849840,27001386544
5,0.1579790261247962,1.259548578830532,0.02782795790315573,0.091036027382453,7926052745699,190474833455,7674131159
6,0.2872258668022918,1.2011443331817584,0.03161759286040189,0.06652052236708682,3012501211752,73994812613,2236188474
7,0.33337854551766655,0.710950258808043,0.03300648323759663,0.03969136214152032,1252317149384,30999887570,719148764
