order,ctr_bias,cvr_bias,exposure_cnt,click_cnt,active_cnt
0,0.7711824866366497,0.7525797674466158,1424913843,26948835,2296656
3,0.7199477808383836,0.9145011980646407,1336235498,25149653,2179923
7,0.8294345182991981,1.1222152908293308,766437931,16387445,1661678
9,0.9158935155470732,0.9395848069817881,491814563,11179279,1458244
2,0.7434803242805486,0.7119201264784656,1424913843,26948835,2296656
8,0.872466288322708,0.9675428260907273,631801909,13929637,1603144
4,0.7259833868341308,1.2141688744424957,1223874603,23411700,2082394
1,0.7542798265605923,0.7409104506695551,1424913843,26948835,2296656
5,0.8070321874052596,1.2407874680256263,1077714132,21312438,1951351
6,0.8031814116908252,1.0072185270606977,933635743,19166428,1860395
