site_id,EXPR$1
30607480914543,3140554
40500499589058,4
20209449293196,120756
40707432255536,54714
50605442246954,265386
50206368215858,41278
20309460140974,88
50106403385474,510
80404544231406,5
40504315369553,3207207
90704445965875,22667
50901413830594,4611
70809455792733,4942
20605460089933,3018
40807403425677,20352
40504400147134,373797
20205430044969,7535175
70204561021014,225
20906306793614,62027
60901499286057,6
70405412545955,152067
50001574750405,115
70006563700470,28518
60305460411544,589539
50807530695352,221935
40701410311452,65843
40106476583359,164481
60303415282763,54210
40604491829077,7550
70800426750600,330517
10604328256510,30301
50806409090287,20388
20900420119451,44983
10005398496922,834248
90301475842282,62605
90100326256701,22652
70609460544983,443712
70803405454129,641
80304215099367,63751
90205493587472,423
70402488816471,12
90505451424076,12560
20009480643972,5807
10907511528330,27635
70905490183934,2833
70604328547766,26
40706426556602,3849941
70100221174573,260338
30506472073904,428035
90903124471793,3459
80909275122043,43
10109338046765,11
90805444657273,208
50906420844971,14021
10506450549984,75967
20103453324228,1377
70006491319394,24964
30806358632143,708693
20204533209471,2279
30004260366441,74
60003454983821,147720
60005012352827,4251288
90503492650537,56277
70506421868294,22875229
10509414896986,61474
30206388181212,2483
50308424081820,778440
20102414297987,177730
80006564454406,44
60807476850604,2955132
70707452477964,316162
50604428212896,8328683
10707405966597,35744
60508439594416,6275
60304476255988,7956
60704472578903,74391
30400461864295,144218
40109452819930,1543
60700493537595,1517
90100470046973,117
30208368992837,875887
80309495536503,33490
50104416453989,3540
10309012621387,9374866
30602476557982,40524
80605561822013,567
70601378118790,149162
40301325569554,989346
50002495342288,35455
10406450945135,75275
70608348419857,179542
70804376351702,3743
80909368092923,287378
10600415585766,111525
20105445936502,113835
20201368893836,2175472
30005422732564,76318
40701491823377,15873
90603469797199,47034
60208465173782,97
50007452537563,100669
90909430249968,2988374
30605462917931,4145
60608308136142,1910853
20604530875002,13230
20805465563596,22010
50309348389211,11219
50904485673781,563
80303373095787,191653
30302471412393,62912
40903398619789,343112
20306444885088,47122
60402262989318,923760
70304481261296,249587
70702022115052,16775928
70908422871965,135482
30502474797090,68249
50609444954277,45170
40809434919914,329
80904328951508,40808
30800591023329,159021
