adgroup_id,pctr,ctr,smart_optimization_goal,second_goal,roi_goal,smart_pcvr,adjusted_smart_pcvr,vc_pcvr_bias,industry_factor_adjust_pcvr,exposure_cnt,click_cnt,trace_cnt,active_num,fraud_type,valid_exposure_cnt,valid_click_cnt
3338731585,1020270001664,0,204,0,0,0,0,0,0,36,0,0,0,0,36,0
3431293787,818957997568,0,204,0,0,0,0,0,0,38,0,0,0,0,38,0
3431293787,635635999744,0,204,0,0,0,0,0,0,25,0,0,0,0,25,0
3476199986,18143000576,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3332988500,4998000128,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3464021784,5371869921280,\N,204,0,6,1524,0,0,0,0,6,0,0,1,0,0
3464881677,4564438941696,\N,204,0,6,870,0,0,0,0,5,0,0,1,0,0
3476623066,529999986688,\N,204,0,6,189,0,0,0,0,1,0,0,1,0,0
3332988500,2520999936,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3464777436,8564999936,0,204,0,0,0,0,0,0,3,0,0,0,0,3,0
3464886018,911868998144,0,204,0,6,0,0,0,0,38,0,0,0,0,38,0
3472227269,152560000000,0,204,0,6,0,0,0,0,7,0,0,0,0,7,0
3305017826,895962007040,\N,204,0,6,0,0,0,0,0,0,43,0,0,0,0
3332988500,1043679004416,0,204,0,6,0,0,0,0,78,0,0,0,0,78,0
3343286608,93378000896,0,204,0,6,0,0,0,0,6,0,0,0,0,6,0
3470645455,3972000000,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3338731585,9475000320,0,204,0,0,0,0,0,0,1,0,0,0,0,1,0
3467524490,264130000896,\N,204,0,0,0,0,0,0,0,0,23,0,0,0,0
3421036123,14419999744,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3460864058,380000010240,\N,204,0,0,342,0,0,0,0,2,0,0,1,0,0
3475874421,9260000256,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3471144879,4376000000,0,204,0,0,0,0,0,0,1,0,0,0,0,1,0
3473035449,6101000192,0,204,0,0,0,0,0,0,1,0,0,0,0,1,0
3472227269,41763000320,\N,204,0,6,26718,26718,1,26718,0,1,0,0,0,0,1
3374838258,14108999680,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3464021784,847758016512,0,204,0,6,0,0,0,0,5,0,0,0,0,5,0
3472227269,634104971264,\N,204,0,6,0,0,0,0,0,0,1,0,0,0,0
3338731585,389206016000,\N,204,0,0,5598,6262,1.1185959577560425,5598,0,1,0,0,0,0,1
3464021784,36905000960,0,204,0,6,0,0,0,0,1,0,0,0,0,1,0
3473035449,573870018560,0,204,0,0,0,0,0,0,3,0,0,0,0,3,0
3460856522,30111000576,0,204,0,0,0,0,0,0,1,0,0,0,0,1,0
3431293787,121325004800,\N,204,0,0,0,0,0,0,0,0,5,0,0,0,0
3464021784,31581999104,\N,204,0,6,0,0,0,0,0,0,1,1,0,0,0
3464021784,15196000256,\N,204,0,6,8411,8411,1,8411,0,1,0,0,0,0,1
3470645423,114813000192,0,204,0,6,0,0,0,0,8,0,0,0,0,8,0
3431293787,126121999872,0,204,0,0,0,0,0,0,8,0,0,0,0,8,0
3473035446,12424999936,0,204,0,0,0,0,0,0,1,0,0,0,0,1,0
3461059158,93695000576,0,204,0,6,0,0,0,0,2,0,0,0,0,2,0
3411856411,628722008064,\N,204,0,6,0,0,0,0,0,0,7,0,0,0,0
