site_id,order,pctr,click_cnt,exposure_cnt,ctr_bias
70506421868294,2,201629.94892229518,174835,13528600,0.15325849470812591
70702022115052,8,88.42134622697631,100,2615,-0.11578653773023684
70702022115052,3,6484.943120897568,6075,491796,0.0674803491189413
70506421868294,8,16.359769005601493,15,1696,0.0906512670400994
70702022115052,2,33579.85284645191,31084,2761513,0.08029381181482154
70702022115052,1,229602.3106513467,208002,18532821,0.10384664883677419
70506421868294,0,5718570.432571085,5125879,386468755,0.11562727730621125
70506421868294,3,52182.23336347368,44717,3514909,0.16694396680174606
70506421868294,6,561.9588732074751,450,44875,0.24879749601661127
70506421868294,1,826586.1075990992,728401,57128812,0.13479540472775176
70702022115052,5,535.2240021433754,507,23921,0.05566864328081933
70702022115052,9,61.33982845838182,66,1789,-0.07060865972148767
70506421868294,9,2.5061970094809567,1,246,1.5061970094809567
70702022115052,6,254.2443257105042,241,8525,0.05495570834234109
70702022115052,7,146.4045678075854,132,4286,0.10912551369382895
70702022115052,0,2913117.730902194,2551030,200352938,0.1419378568273184
70506421868294,7,106.40717101868222,103,9280,0.03307933027846821
70506421868294,4,12699.532205016632,10796,875024,0.1763182850145084
70506421868294,5,2811.5725814902526,2293,203136,0.2261546364981477
70702022115052,4,1585.6802369138459,1431,97758,0.10809240874482584
