site_id,order,pctr,click_cnt,exposure_cnt,ctr_bias
70702022115052,0,39351.254116455304,44588,2758506,-0.11744742718993217
70702022115052,7,141.09835005945206,124,4201,0.13788991983429089
70702022115052,4,1590.6212776275129,1435,97690,0.10844688336412056
70506421868294,7,104.54354400989405,80,9344,0.3067943001236757
70702022115052,6,248.70796813717607,203,8295,0.22516240461663095
70702022115052,2,33522.24776098948,30938,2757764,0.08352989078122297
70702022115052,9,58.65666096632776,70,1763,-0.162047700481032
70702022115052,3,6475.779220152122,6025,492952,0.07481812782607844
70506421868294,9,2.369195018907476,1,243,1.369195018907476
70506421868294,5,2827.952655905813,2341,203622,0.20801053221094112
70702022115052,5,528.5806662159303,543,23729,-0.026554942512099
70506421868294,1,207640.82436349557,197449,13529301,0.051617503069124604
70702022115052,8,89.44278728539211,82,2566,0.09076569860234285
70506421868294,3,52228.06970619535,44979,3518192,0.16116564855144278
70506421868294,6,564.650170059567,467,44852,0.2091010065515353
70506421868294,8,18.1359160591785,13,1803,0.39507046609065366
70506421868294,4,12710.264629020812,10779,876188,0.17916918350689426
70506421868294,2,201670.53810693155,175882,13528154,0.14662408948574357
70506421868294,0,222747.00531396925,251753,13532882,-0.11521608356615709
70702022115052,1,35587.352409566505,35108,2757931,0.013653651861869287
