process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_pctr,valid_click_smart_pcvr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,vc_pcvr_bias,valid_exposure_cnt,valid_click_cnt,active_num,real_cost_micros,single_gmv,gmv
20210605,40701410311452,QQ系,1,105,108,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,70803405454129,CSIG,0,121,0,164906000384,0,0,0,0.0,6,0,0,0.02,0.0,0.0
20210605,10600415585766,IEG,1,301,0,0,0,0,0,0.0,0,0,6,0.0,19.41,19.41
20210605,30806358632143,IEG,1,105,0,0,0,0,0,0.0,0,0,19,0.0,3537.69,3537.69
20210605,80605561822013,IEG,1,104,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,70609460544983,IEG,1,105,10801,0,0,0,0,0.0,0,0,2,0.0,832.52,1665.04
20210605,30800591023329,TME,0,7,0,120989092036608,129000000,129000000,0,129.0,12502,129,0,53.672389999999986,0.0,0.0
20210605,70707452477964,阅文系,0,315,0,633263551782720,211113638,211166087,0,534.4983241558075,17890,534,0,72.98326000000003,0.0,0.0
20210605,70707452477964,阅文系,1,402,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,40604491829077,IEG,0,104,105,647356003200,0,0,0,0.0,98,0,0,3.7899999999999996,0.0,0.0
20210605,70304481261296,TME,1,301,205,0,0,0,0,0.0,0,0,2,0.0,0.0,0.0
20210605,30502474797090,CSIG,0,105,0,297563192859904,2773975,2876105,0,1971.4414509534836,4146,320,0,121.58661000000002,0.0,0.0
20210605,30502474797090,CSIG,0,105,106,894797987840,5434,5434,1611,1.0,16,1,0,0.13,0.0,0.0
20210605,70702022115052,TKD,0,301,204,75214059039424,33595515,33355657,716906,75.49806472659111,3573,76,0,103.86999999999996,0.0,0.0
20210605,70809455792733,CSIG,1,302,0,0,0,0,0,0.0,0,0,39,0.0,14.41,14.41
20210605,80304215099367,CSIG,1,402,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0
20210605,70905490183934,IEG,0,205,0,188792999936,0,0,0,0.0,16,0,0,0.25,0.0,0.0
