process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,pcvr_bias,exposure_cnt,click_cnt,cost,gmv
20210605,80904328951508,TME,0,108,0,0.6529453824604711,4996,266,1.4776197E-4,0.0
20210605,40106476583359,未分组1,0,10801,0,2.2448707333017093,10738,690,0.0016390034199999992,1350.98
20210605,30602476557982,CSIG,0,301,205,0.0,1,0,9.999999999999998E-8,0.0
20210605,50906420844971,IEG,0,405,0,0.08614151104564441,3496,57,3.368140099999999E-4,0.0
20210605,50906420844971,IEG,0,105,0,0.023908564753264878,928,3,6.464000000000005E-5,0.0
20210605,50604428212896,TKD,0,315,0,0.3450335295275681,3244181,51717,0.016647063009999994,479.47
20210605,50106403385474,IEG,0,405,205,0.0,4,0,1.6E-7,0.0
20210605,90301475842282,TME,0,205,0,0.33848691770289696,3432,25,3.373072999999999E-5,0.0
20210605,60005012352827,TKD,1,104,10801,0.0,0,0,0.0,0.0
20210605,70609460544983,IEG,1,301,108,0.0,0,0,0.0,140.0
20210605,70506421868294,TKD,1,301,205,0.0,0,0,0.0,69.12
20210605,90603469797199,TME,0,405,0,0.031665128966370325,6051,95,1.0412796000000001E-4,0.0
20210605,60704472578903,TME,0,204,108,0.014178700480900757,264,4,1.2522E-6,0.0
20210605,50002495342288,TME,1,315,0,0.0,0,0,0.0,92.31
20210605,40706426556602,未分组1,0,405,204,0.07692307692307693,31,2,8.947999999999999E-8,0.0
20210605,60704472578903,TME,0,405,205,0.09391758838676281,8370,165,5.5917000000000014E-5,0.0
20210605,70908422871965,阅文系,0,405,0,0.3482196400417745,13342,1776,3.1166319E-4,0.0
20210605,20309460140974,IEG,0,104,10801,0.0,19,0,3.9499999999999995E-6,0.0
20210605,40504400147134,阅文系,0,107,0,0.2387821621215632,27285,1053,7.412999999999999E-4,0.0
20210605,40301325569554,TME,1,10801,0,0.0,0,0,0.0,6968.13
20210605,30400461864295,TME,0,205,0,948.5870137368479,265,13,1.0919999999999999E-5,0.0
20210605,80904328951508,TME,0,105,204,0.0,4,0,7.965999999999999E-8,0.0
20210605,70100221174573,CSIG,0,204,108,0.181959392304893,1490,28,1.8806539999999996E-5,0.0
20210605,30800591023329,TME,0,105,108,0.1727563780004328,117,4,1.2E-6,0.0
20210605,80304215099367,CSIG,0,204,205,0.0,24,0,1.0516E-7,0.0
20210605,40109452819930,IEG,0,104,105,0.0,2,0,1.1E-7,0.0
20210605,20906306793614,TKD,0,402,0,0.02164360284805298,3200,5,8.2E-7,0.0
20210605,40706426556602,未分组1,0,107,0,0.36663822333017987,50,7,2.8009E-7,0.0
20210605,60005012352827,TKD,0,104,315,0.0,107,0,0.0,0.0
20210605,60305460411544,阅文系,0,412,0,0.01918434907519628,56,1,7.493599999999999E-7,0.0
20210605,60305460411544,阅文系,1,107,0,0.0,0,0,0.0,0.0
20210605,60704472578903,TME,0,104,10801,0.1271082501519009,98311,1328,0.0014347597600000003,1092.0
20210605,50806409090287,TME,0,315,0,0.0,2,0,4.0E-8,19.44
20210605,70609460544983,IEG,0,315,405,0.0,2,0,0.0,0.0
20210605,30005422732564,其他,1,315,0,0.0,0,0,0.0,317.4
20210605,70601378118790,TME,0,104,204,0.0,5,0,5.0E-8,0.0
20210605,30605462917931,IEG,0,301,0,0.0,32,0,4.0E-7,0.0
20210605,90603469797199,TME,1,204,0,0.0,0,0,0.0,268.21000000000004
20210605,60005012352827,TKD,0,406,0,0.03465817703141107,11,1,0.0,0.0
20210605,30800591023329,TME,1,405,409,0.0,0,0,0.0,0.0
20210605,20204533209471,TME,0,301,205,0.0,1,0,1.0E-8,0.0
20210605,40106476583359,阅文系,0,104,204,0.0,828,0,9.499999999999999E-7,0.0
20210605,90704445965875,IEG,0,104,10801,0.19190866449858313,3295,184,5.620062999999998E-5,0.0
20210605,30605462917931,IEG,0,105,10801,0.0,78,0,1.1119999999999999E-5,0.0
20210605,30806358632143,IEG,0,204,108,1.8380974681822808,8693,99,6.730299999999999E-4,0.0
20210605,30506472073904,TME,0,204,108,0.03728749269717618,766,8,1.03578E-5,0.0
20210605,40504315369553,TME,0,104,204,0.16198370058924424,47523,2328,0.0019680375700000005,596.92
20210605,60402262989318,CSIG,1,315,204,0.0,0,0,0.0,0.0
20210605,70608348419857,IEG,1,302,0,0.0,0,0,0.0,0.0
20210605,70100221174573,CSIG,1,204,0,0.0,0,0,0.0,2912.02
20210605,10406450945135,阅文系,1,105,0,0.0,0,0,0.0,0.0
20210605,40109452819930,IEG,1,405,0,0.0,0,0,0.0,0.0
20210605,30208368992837,TKD,0,119,0,0.0,3,0,4.999999999999999E-8,0.0
20210605,40706426556602,未分组1,1,301,0,0.0,0,0,0.0,45.42
20210605,70006491319394,QQ系,1,301,0,0.0,0,0,0.0,13.13
20210605,60807476850604,TKD,1,302,0,0.0,0,0,0.0,224.05
20210605,60402262989318,CSIG,1,10801,0,0.0,0,0,0.0,580.0
20210605,40706426556602,QQ系,1,105,204,0.0,0,0,0.0,0.0
