process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_pctr,valid_click_smart_pcvr,adjusted_smart_pcvr,vc_pcvr_bias,exposure_cnt,click_cnt,trace_cnt,active_num,real_cost_micros,gmv
20210605,70405412545955,IEG,1,205,0,0,0,0,0.0,0,0,44,0,0.0,0.0
20210605,30607480914543,阅文系,0,204,407,2347960987648,25419,24845,4.86454176902771,22,5,0,0,0.060000000000000005,0.0
20210605,30506472073904,TME,0,315,405,33585000192,0,0,0.0,7,0,0,0,0.0,0.0
20210605,10506450549984,IEG,1,104,0,0,0,0,0.0,0,0,550,12,0.0,381.83000000000004
20210605,40706426556602,未分组1,0,104,108,447680991232,550,550,1.0,5,1,0,0,0.032749999999999994,0.0
20210605,10707405966597,QQ系,1,7,204,0,0,0,0.0,0,0,17,0,0.0,0.0
20210605,20900420119451,QQ系,0,107,0,1328000000,0,0,0.0,1,0,0,0,0.0,0.0
20210605,60704472578903,TME,1,302,119,0,0,0,0.0,0,0,3,0,0.0,0.0
20210605,50007452537563,其他,0,302,0,4728677982208,55625,67150,26.48170280456543,92,4,0,0,16.840739999999997,0.0
20210605,70304481261296,TME,0,204,0,60673293056916352,431961484,457339036,115847.01305399463,910237,57201,56,0,24424.471219999974,930.0
20210605,50807530695352,TME,1,104,204,0,0,0,0.0,0,0,789,0,0.0,0.0
20210605,70601378118790,TME,0,205,0,385770400987584,192830,133508,4437.765840172768,20243,328,128,0,324.20256999999987,0.0
20210605,40504315369553,TME,0,301,108,46600253084992,18810520,18810520,41.0,4662,41,0,0,35.476999999999975,0.0
20210605,40504315369553,TME,0,204,205,511051815806720,9901425,10023232,728.5339162349701,38935,596,20,0,613.0966499999998,0.0
20210605,30506472073904,TME,0,204,0,7467235213953024,98653107,101410428,15799.058192193508,1366569,6910,1220,4,6479.792620000001,7789.5199999999995
20210605,40301325569554,TME,1,302,205,0,0,0,0.0,0,0,234,0,0.0,0.0
20210605,50206368215858,IEG,1,104,10801,0,0,0,0.0,0,0,240,15,0.0,16146.48
20210605,70707452477964,阅文系,0,121,0,13652099960704,15693,15693,13.0,234,13,0,0,0.46613,0.0
20210605,40701410311452,QQ系,1,104,105,0,0,0,0.0,0,0,664,1,0.0,72.0
20210605,70506421868294,TKD,1,301,106,0,0,0,0.0,0,0,2581,894,0.0,0.0
20210605,60305460411544,阅文系,0,104,0,19276438788495936,160888247,168566026,28532.868407934904,1996015,17490,2112,56,8052.523249999999,1588.09
20210605,20604530875002,TME,0,105,10801,1351246995456,186818,186818,1.0,115,1,0,0,23.55,0.0
20210605,50605442246954,IEG,0,301,0,396227145168128,192696234,192641473,315.80682653188705,19309,316,10,8,464.785,53.35
20210605,20105445936502,未分组1,0,121,0,754390001152,0,0,0.0,182,0,0,0,0.47000000000000003,0.0
20210605,90503492650537,IEG,1,104,106,0,0,0,0.0,0,0,5443,16,0.0,759.9
20210605,10707405966597,QQ系,1,302,0,0,0,0,0.0,0,0,2454,575,0.0,215.72
20210605,90704445965875,IEG,0,205,0,2669564002304,1111,805,1.4994544982910156,52,2,0,0,0.92,0.0
20210605,60704472578903,TME,0,301,205,792029000512,0,0,0.0,40,0,0,0,0.09202,0.0
20210605,30605462917931,IEG,0,10,0,8792000512,0,0,0.0,1,0,0,0,0.02,0.0
20210605,60005012352827,TKD,0,302,0,258462999232,0,0,0.0,148,0,0,0,0.3,0.0
20210605,70304481261296,TME,0,315,0,8004024250445312,1701478781,1764724670,17535.41467308998,130186,7465,0,0,3285.1014100000016,0.0
20210605,40504400147134,阅文系,0,104,10801,4305768515489728,139757772,141786239,5844.134343147278,235316,4227,20796,27,13899.441920000005,1300.0
20210605,20201368893836,TKD,1,405,204,0,0,0,0.0,0,0,19552,20,0.0,6494.450000000001
20210605,60402262989318,CSIG,1,104,108,0,0,0,0.0,0,0,215,0,0.0,0.0
20210605,60402262989318,CSIG,0,412,0,109344000000,0,0,0.0,7,0,0,0,0.05,0.0
20210605,50604428212896,TKD,0,405,409,20201483967552,26215,30491,271.1611877679825,1623,18,0,0,4.489999999999998,0.0
20210605,70702022115052,TKD,1,301,204,0,0,0,0.0,0,0,272,32,0.0,220.0
20210605,40106476583359,阅文系,0,403,0,47033999360,0,0,0.0,2,0,0,0,0.0,0.0
20210605,80909368092923,IEG,0,204,108,10908914979584,204969,210154,13.108802318572998,1115,12,0,0,134.14873999999998,0.0
20210605,10506450549984,IEG,0,104,105,10139925998720,909276,907348,14.572186589241028,1249,15,0,0,28.229999999999986,0.0
20210605,10907511528330,TME,1,204,108,0,0,0,0.0,0,0,4,0,0.0,0.0
20210605,70405412545955,IEG,1,105,106,0,0,0,0.0,0,0,203,5,0.0,0.0
20210605,70608348419857,IEG,0,105,0,310227781946048,31580247,32009991,318.61736530065536,20965,265,51,1,2666.2100000000005,80.0
20210605,60402262989318,CSIG,0,205,0,14407626564633088,42178473,42986463,51843.291572541,275801,13520,10,0,11697.279070000002,0.0
20210605,60402262989318,CSIG,0,105,0,3366099014626496,41559916,43974565,4933.368682265282,81168,3185,33,1,2032.7015499999998,171.34
20210605,50806409090287,TME,1,205,0,0,0,0,0.0,0,0,66,0,0.0,0.0
20210605,30005422732564,其他,1,315,0,0,0,0,0.0,0,0,418,138,0.0,317.4
20210605,10506450549984,IEG,0,302,318,20783000320,0,0,0.0,4,0,0,0,0.0,0.0
20210605,40706426556602,未分组1,0,315,0,12161011005696,827656,827656,12.0,171,12,0,0,1.3057400000000001,0.0
20210605,70006563700470,TME,1,405,409,0,0,0,0.0,0,0,8,0,0.0,0.0
20210605,30208368992837,TKD,0,204,108,13078966002112,200197,225896,19.50854182243347,2450,19,0,0,48.45295,0.0
20210605,10907511528330,TME,0,104,10801,164484923170176,974358,926145,188.349721044302,4525,180,77,1,220.22337000000007,0.0
20210605,10309012621387,QQ系,1,7,204,0,0,0,0.0,0,0,16231,0,0.0,221.7
20210605,10406450945135,阅文系,0,104,106,375855556028992,24417190,25077358,4738.173656463623,48350,391,1512,6,796.96353,1649.78
20210605,40706426556602,未分组1,1,301,0,0,0,0,0.0,0,0,684,37,0.0,45.42
20210605,40706426556602,未分组1,0,10801,0,13673720995328,23029,28518,24.234949856996536,221,19,634,0,3.42786,0.0
20210605,50906420844971,IEG,1,104,204,0,0,0,0.0,0,0,20,0,0.0,0.0
20210605,50807530695352,TME,1,107,0,0,0,0,0.0,0,0,86,0,0.0,0.0
20210605,20209449293196,TME,1,204,108,0,0,0,0.0,0,0,178,0,0.0,0.0
20210605,30806358632143,IEG,1,204,205,0,0,0,0.0,0,0,15,0,0.0,0.0
20210605,50309348389211,IEG,0,105,106,53756999936,0,0,0.0,8,0,0,0,0.08,0.0
