process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,gmv,second_gmv
20210605,20805465563596,QQ系,0,104,0,29163,243,0,0,262887963900288,1203833,0,28.235450000000007,0.0,0.0
20210605,50806409090287,TME,1,104,0,0,0,16,0,0,0,0,0.0,403.21000000000004,0.0
20210605,30607480914543,阅文系,1,104,0,0,0,5289,0,0,0,0,0.0,51144.91999999999,0.0
20210605,40701410311452,QQ系,1,104,0,0,0,24,0,0,0,0,0.0,496.44,0.0
20210605,40504315369553,TME,1,104,0,0,0,5156,0,0,0,0,0.0,96568.53,0.0
20210605,40706426556602,未分组1,0,104,0,4318,342,0,0,338571011028224,2664599,0,20.58469000000002,0.0,0.0
20210605,60304476255988,未分组1,0,104,0,3413,60,0,0,67718916973312,12910765,0,445.81999999999977,0.0,0.0
20210605,90805444657273,CSIG,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,60608308136142,IEG,1,104,0,0,0,1820,0,0,0,0,0.0,41327.73,0.0
20210605,20201368893836,TKD,0,104,0,1491402,44011,47,0,42596410239686336,773344456,400,16370.23246,907.3500000000001,0.0
20210605,80909368092923,IEG,0,104,0,262805,2562,89,0,2651467681744768,137310514,92953,7175.900739999999,3775.5400000000004,0.0
20210605,30800591023329,TME,1,104,0,0,0,84,0,0,0,0,0.0,1086.66,0.0
20210605,20906306793614,TKD,1,104,0,0,0,2,0,0,0,0,0.0,70.87,0.0
20210605,30208368992837,TKD,1,104,0,0,0,69,0,0,0,0,0.0,2247.2300000000005,0.0
20210605,30502474797090,CSIG,0,104,0,75022,5392,0,0,5697107707719424,181431925,0,2691.7793100000044,0.0,0.0
20210605,80309495536503,未分组1,0,104,0,10012,30,1,0,41468479018112,3810300,0,231.64191000000017,15.65,0.0
20210605,70100221174573,CSIG,0,104,0,257119,8039,0,0,8191101073734720,93710144,22045,1869.6123099999986,0.0,0.0
20210605,20605460089933,IEG,0,104,0,666,15,0,0,14955274024192,506251,0,14.269999999999989,0.0,0.0
20210605,40504315369553,未分组1,1,104,0,0,0,4,0,0,0,0,0.0,83.58,0.0
20210605,70609460544983,IEG,1,104,0,0,0,508,0,0,0,0,0.0,5178.83,0.0
20210605,50806409090287,TME,0,104,0,11903,78,2,0,90776292059904,21769845,0,530.7766599999998,31.68,0.0
20210605,20306444885088,IEG,1,104,0,0,0,2,0,0,0,0,0.0,53.459999999999994,0.0
20210605,20209449293196,TME,0,104,0,76556,660,1,0,794419816012096,28581508,5943,611.1096099999995,8.89,0.0
20210605,20900420119451,QQ系,0,104,0,60779,316,0,0,335313694024640,5321137,0,159.80926999999994,0.0,0.0
20210605,30806358632143,IEG,0,104,0,971837,12380,380,0,12982133632924608,720322713,1030445,40909.666679999995,13489.949999999999,0.0
20210605,90205493587472,IEG,0,104,0,97,1,0,0,1266671008768,58895,0,1.62,0.0,0.0
20210605,20201368893836,TKD,1,104,0,0,0,609,0,0,0,0,0.0,12044.439999999999,0.0
20210605,30400461864295,TME,0,104,0,351769,26625,0,0,27036066569292288,426862908,0,12110.913709999997,0.0,0.0
20210605,60303415282763,IEG,0,104,0,23299,165,24,0,168233260030848,19460512,15045,1332.65,1318.0,0.0
20210605,60608308136142,IEG,0,104,0,2793101,47931,473,0,55949092160710272,2739524068,771062,68210.27463999999,7440.43,0.0
20210605,80909368092923,IEG,1,104,0,0,0,84,0,0,0,0,0.0,4806.26,0.0
20210605,20009480643972,IEG,0,104,0,2014,31,3,0,28583724007680,2418881,0,347.4599999999999,48.0,0.0
20210605,10509414896986,IEG,1,104,0,0,0,10,0,0,0,0,0.0,497.97,0.0
20210605,70707452477964,阅文系,0,104,0,1196591,27798,0,0,27773502262430976,330007944,0,7781.226840000004,0.0,0.0
20210605,90603469797199,TME,0,104,0,28434,568,0,0,700597149936512,4628828,0,254.88660999999996,0.0,0.0
20210605,70809455792733,CSIG,1,104,0,0,0,2,0,0,0,0,0.0,133.68,0.0
20210605,70304481261296,TME,0,104,0,1679856,108508,0,0,115195222256919808,3455564188,0,26425.113669999973,0.0,0.0
20210605,50906420844971,IEG,1,104,0,0,0,1,0,0,0,0,0.0,65.0,0.0
20210605,40807403425677,应用宝,1,104,0,0,0,401,0,0,0,0,0.0,4970.96,0.0
20210605,50308424081820,TME,0,104,0,872851,62770,35,0,64773501886867136,1424438045,1599,23008.452850000016,521.33,0.0
20210605,80605561822013,IEG,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,10506450549984,IEG,1,104,0,0,0,12,0,0,0,0,0.0,381.83000000000004,0.0
20210605,50609444954277,CSIG,1,104,0,0,0,132,0,0,0,0,0.0,2948.32,0.0
20210605,30004260366441,CSIG,0,104,0,8,6,0,0,927306004480,26501,0,0.1,0.0,0.0
20210605,70809455792733,CSIG,0,104,0,53743,313,0,0,364676513910208,2582110,0,118.96421,0.0,0.0
20210605,40701410311452,QQ系,0,104,0,118165,945,0,0,973463285030656,27530725,0,564.6173999999992,0.0,0.0
20210605,30607480914543,阅文系,0,104,0,3107106,243328,319,0,239880946050247104,6540295974,20726,70389.55466000001,5801.87,0.0
20210605,50604428212896,TKD,1,104,0,0,0,5706,0,0,0,0,0.0,98417.53,0.0
20210605,20105445936502,未分组1,0,104,0,1161270,10225,26,0,10173411136709824,813400518,0,21226.733539999997,488.26,0.0
20210605,40106476583359,未分组1,1,104,0,0,0,45,0,0,0,0,0.0,538.62,0.0
20210605,10604328256510,TME,0,104,0,144636,6504,1,0,6964742589331840,95420458,0,3277.2324600000006,18.99,0.0
20210605,60304476255988,未分组1,1,104,0,0,0,10,0,0,0,0,0.0,234.17,0.0
20210605,70006563700470,TME,1,104,0,0,0,56,0,0,0,0,0.0,1213.81,0.0
20210605,70608348419857,IEG,1,104,0,0,0,172,0,0,0,0,0.0,4778.29,0.0
20210605,50904485673781,IEG,0,104,0,87,2,0,0,929159995584,247260,0,1.6300000000000003,0.0,0.0
20210605,20805465563596,QQ系,1,104,0,0,0,1,0,0,0,0,0.0,31.92,0.0
20210605,20605460089933,IEG,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,70506421868294,TKD,0,104,0,121639800,2261563,39688,0,2272253590080327808,74792090407,9849189,1619156.136770001,772243.7699999999,0.0
20210605,90704445965875,未分组1,0,104,0,6061,315,0,0,339956194031360,5489347,0,47.593309999999995,0.0,0.0
20210605,60003454983821,TME,0,104,0,127165,9350,3,0,9645042057006080,98055923,1017,3217.568949999996,48.0,0.0
20210605,50206368215858,IEG,0,104,0,9040,200,4,0,207188782126016,14969989,3807,1020.5099999999998,92.32,0.0
