process_date,site_id,position_id,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,first_gmv,second_gmv,click_gmv,no_click_gmv
20210605,30806358632143,8061648517048075,204,0,45687,1249,17,0,1336555009328832,23201675,0,3024.562029999999,2420.4,0.0,1668.9800000000002,751.42
20210605,20306444885088,9081313434873860,104,105,28,0,0,0,221492000000,0,0,0.04908,0.0,0.0,0.0,0.0
20210605,40706426556602,4031806789329970,204,0,106936,1627,227,0,1482107409919424,295090439,0,155.84651999999997,124.81,0.0,124.81,0.0
20210605,60608308136142,6051441567843077,104,10801,67760,1176,139,15,1244350576893568,158938715,20321815,18908.13869000001,0.0,15498.899999999998,15498.899999999998,0.0
20210605,40706426556602,8010761906431051,108,0,4953,70,0,0,78800133953344,886828,0,13.427709999999987,0.0,0.0,0.0,0.0
20210605,50308424081820,1001809123969219,104,106,1134545,121380,2448,341,123302707312258752,4442724247,854400839,49694.88613999993,0.0,79139.55999999995,79139.55999999995,0.0
20210605,70100221174573,6050946423208461,405,0,8516,160,0,0,149433119028800,289970,0,13.990000000000002,0.0,0.0,0.0,0.0
20210605,50604428212896,3000190293746321,405,204,5815,282,3,1,314655001098752,3233047,2021203,578.8760599999999,0.0,400.0,400.0,0.0
20210605,50605442246954,5061126573200760,107,0,1,0,0,0,5343000064,0,0,0.01,0.0,0.0,0.0,0.0
20210605,60005012352827,6030367771415867,104,105,2,0,0,0,31377999872,0,0,0.0,0.0,0.0,0.0,0.0
20210605,10005398496922,1021657169290139,301,0,13,0,0,0,182100999680,0,0,0.12038,0.0,0.0,0.0,0.0
20210605,70506421868294,9090638273963917,302,0,6,0,0,0,51119000064,0,0,0.00198,0.0,0.0,0.0,0.0
20210605,20201368893836,8080088966238976,405,409,4,0,0,0,25004999552,0,0,0.01,0.0,0.0,0.0,0.0
20210605,60402262989318,4011705563194557,302,204,2,0,0,0,26510999552,0,0,0.0,0.0,0.0,0.0,0.0
20210605,60005012352827,6061405262120544,105,10801,133,4,1,0,10361871000576,145283,13351,31.78622,0.0,0.0,0.0,0.0
20210605,60704472578903,8051450260890172,302,0,10,0,0,0,397745002496,0,0,0.12,0.0,0.0,0.0,0.0
