process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,gmv,second_gmv
20210605,30400461864295,TME,1,104,10801,0,0,70,4,0,0,0,0.0,822.0,8.22
20210605,30800591023329,TME,0,104,315,5813,339,7,30,317747454908160,47002265,54913909,212.50386999999995,118.5,1.185
20210605,20009480643972,IEG,0,104,105,19,0,0,0,190115000064,0,0,1.72,0.0,0.0
20210605,60704472578903,TME,0,104,105,3727,40,0,0,49579173053440,921158,663803,24.74298,0.0,0.0
20210605,70601378118790,TME,0,104,108,34,0,0,0,428606998656,0,0,1.8400000000000005,0.0,0.0
20210605,90704445965875,未分组1,0,104,10801,3377,134,0,0,130892165956864,1228189,97990,91.54936999999995,0.0,0.0
20210605,90903124471793,其他,0,104,106,1246,17,0,0,18142158012992,32682,8076,0.14,0.0,0.0
20210605,50807530695352,TME,1,104,10801,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,40504315369553,TME,1,104,0,0,0,5156,0,0,0,0,0.0,96568.53000000001,0.0
20210605,30605462917931,IEG,1,104,105,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,80904328951508,TME,0,104,105,22382,1496,0,0,1827659909326336,72985785,40956413,1106.1284500000002,0.0,0.0
20210605,90603469797199,TME,1,104,105,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,40604491829077,IEG,0,104,108,1,0,0,0,10213000192,0,0,0.04,0.0,0.0
20210605,90505451424076,IEG,0,104,315,130,0,0,0,834942000832,0,0,3.01,0.0,0.0
20210605,70304481261296,TME,0,104,0,1679856,108508,0,0,115195222256919808,3455564188,0,26425.113669999962,0.0,0.0
20210605,40504400147134,阅文系,0,104,10801,235316,4227,30,1,4305768515489728,141786239,15233373,13899.44192,650.0,6.5
20210605,30605462917931,IEG,0,104,10801,775,10,1,0,4442903004096,2390865,138183,65.44999999999999,0.0,0.0
20210605,40807403425677,应用宝,0,104,106,45416,4414,0,0,4367175868654144,778600035,206628438,10348.01404,0.0,0.0
20210605,60608308136142,IEG,0,104,108,4262,37,4,0,37720950011648,6960702,1365859,210.38000000000005,0.0,0.0
20210605,40706426556602,QQ系,1,104,315,0,0,1370,1384,0,0,0,0.0,4739.74,47.3974
20210605,70006491319394,QQ系,0,104,108,30,0,0,0,178956000256,0,0,0.01,0.0,0.0
20210605,20201368893836,TKD,1,104,10801,0,0,43,5,0,0,0,0.0,4224.22,42.242200000000004
20210605,40109452819930,IEG,1,104,106,0,0,3,1,0,0,0,0.0,682.5,6.825
20210605,60402262989318,CSIG,0,104,204,75235,8216,0,0,7064936653867648,140452469,30767363,1562.8845900000001,0.0,0.0
20210605,40903398619789,TME,1,104,108,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,20805465563596,QQ系,1,104,0,0,0,1,0,0,0,0,0.0,31.92,0.0
20210605,70506421868294,TKD,0,104,10601,16,1,0,0,72644999424,27124,0,0.63,0.0,0.0
20210605,30806358632143,IEG,1,104,105,0,0,15,8,0,0,0,0.0,930.9200000000001,9.3092
20210605,10600415585766,IEG,0,104,105,27697,165,0,0,175149223995072,18976037,11813567,609.1699999999998,0.0,0.0
20210605,80904328951508,TME,1,104,105,0,0,5,2,0,0,0,0.0,168.88,1.6887999999999999
20210605,10406450945135,阅文系,1,104,10801,0,0,10,0,0,0,0,0.0,0.0,0.0
20210605,70100221174573,CSIG,0,104,10601,2,0,0,0,157995999232,0,0,0.0,0.0,0.0
20210605,20204533209471,TME,1,104,0,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,40504400147134,阅文系,1,104,106,0,0,257,105,0,0,0,0.0,11300.150000000001,113.66150000000002
20210605,20204533209471,TME,0,104,0,1149,64,3,0,46606470925312,2334810,0,33.83483000000001,96.0,0.0
20210605,40706426556602,QQ系,0,104,204,134421,5221,5,1,5492499347696192,69184094,12828351,847.7247900000001,42.0,0.42
20210605,50806409090287,TME,0,104,204,137,0,0,0,986019992576,0,0,4.499999999999998,0.0,0.0
20210605,50901413830594,IEG,0,104,10801,909,6,0,0,6136251005568,1738112,70782,53.70999999999999,0.0,0.0
20210605,60508439594416,TME,0,104,105,37,0,0,0,211857000640,0,0,1.31,0.0,0.0
20210605,70405412545955,IEG,0,104,106,168557,2750,18,8,2924077338560256,228290005,80405957,8610.868649999997,1013.0,10.39
20210605,30506472073904,TME,1,104,315,0,0,18,20,0,0,0,0.0,74.9,0.7490000000000001
20210605,40903398619789,TME,1,104,0,0,0,1252,0,0,0,0,0.0,14077.21,0.0
20210605,70100221174573,CSIG,1,104,106,0,0,242,64,0,0,0,0.0,8969.98,89.6998
20210605,60304476255988,未分组1,0,104,315,2,0,0,0,107916003328,0,0,0.38,0.0,0.0
20210605,70609460544983,IEG,0,104,106,2243775,12479,23,3,13479257265265408,1598897302,471134983,22411.088680000008,119.19,1.2442
20210605,20900420119451,QQ系,0,104,105,619,2,0,0,1870767999296,5321,4054,2.0996300000000003,0.0,0.0
20210605,60508439594416,TME,1,104,106,0,0,1,0,0,0,0,0.0,0.0,0.0
20210605,70908422871965,阅文系,0,104,108,167,3,0,0,3147001009856,21579,28039,0.9648800000000001,0.0,0.0
20210605,60402262989318,CSIG,0,104,10801,43896,1750,0,0,1621931811163392,34234850,2943039,2081.6715599999993,0.0,0.0
20210605,50906420844971,IEG,1,104,315,0,0,0,0,0,0,0,0.0,0.0,0.0
20210605,30506472073904,TME,0,104,108,58,0,0,0,1023385000704,0,0,3.46,0.0,0.0
20210605,40701491823377,CSIG,1,104,10801,0,0,8,1,0,0,0,0.0,62.9,0.629
20210605,30806358632143,IEG,1,104,108,0,0,8,0,0,0,0,0.0,0.0,0.0
20210605,70006491319394,QQ系,1,104,106,0,0,1,1,0,0,0,0.0,240.0,2.4
20210605,70702022115052,TKD,0,104,0,41788127,673212,5476,0,720966419898409088,15879863155,628244,525489.19035,114387.2,0.0
20210605,30004260366441,CSIG,0,104,10801,7,0,0,0,181655003136,0,0,0.3,0.0,0.0
20210605,50806409090287,TME,1,104,105,0,0,8,2,0,0,0,0.0,75.0,0.75
20210605,50604428212896,TKD,0,104,204,1083238,13148,6,4,13108805350678784,138727684,10837712,1747.43509,163.25,1.6325
20210605,40903398619789,TME,1,104,106,0,0,685,173,0,0,0,0.0,27802.87,279.0137
20210605,60807476850604,TKD,0,104,204,276762,3070,9,0,3059343272619392,831343164,303987476,15777.020000000004,0.0,0.0
20210605,70402488816471,IEG,0,104,106,1,0,0,0,5203999744,0,0,0.0,0.0,0.0
20210605,50007452537563,其他,1,104,10801,0,0,2,0,0,0,0,0.0,0.0,0.0
