process_date,site_id,position_id,smart_optimization_goal,second_goal,valid_exposure_cnt,valid_click_cnt,active_num,second_active_num,valid_exposure_pctr,adjusted_smart_pcvr,vc_adjusted_smart_pcvr2,real_cost_micros,first_gmv,second_gmv,gmv
20210605,40106476583359,1051410842945690,104,0,4115,87,2,0,110500932852736,603035,0,9.505869999999987,10.280000000000001,0.0,10.280000000000001
20210605,10309012621387,7020009868695958,104,0,2731380,69205,3711,0,66400439716609152,2653899136,0,55822.83496999996,69478.83000000007,0.0,69478.83000000007
20210605,30607480914543,9011964821160836,104,0,18063,516,3,0,509575471581120,10395961,0,160.18551000000005,26.0,0.0,26.0
20210605,60005012352827,5090192538844765,104,0,179,5,0,0,4730355002368,245163,0,20.279999999999994,0.0,0.0,0.0
20210605,50106403385474,4080893254497202,104,0,21,0,0,0,845284992000,0,0,2.25,0.0,0.0,0.0
20210605,70702022115052,6070501516584281,104,0,968575,8423,67,0,9149952004263808,72917195,0,1848.7785599999988,1753.3,0.0,1753.3
20210605,40504315369553,6011522394444276,104,0,345847,2986,307,0,3206486332797824,285830837,0,3501.7123800000004,3877.660000000001,0.0,3877.660000000001
20210605,30607480914543,7000058680351710,104,0,18442,2959,47,0,3143730239715584,70670611,0,1445.6929699999996,982.4899999999998,0.0,982.4899999999998
20210605,30506472073904,5031775252270745,104,0,682,13,2,0,10305815988992,2872866,0,39.12576,31.0,0.0,31.0
20210605,30605462917931,5020695352897823,104,0,701,7,2,0,7196184989568,1863365,0,23.10949,14.17,0.0,14.17
20210605,20204533209471,1021674469822312,104,0,1149,64,3,0,46606470925312,2334810,0,33.83483000000002,96.0,0.0,96.0
20210605,50206368215858,7061811004067684,104,0,1547,39,0,0,45913203040896,764057,0,106.77372999999996,0.0,0.0,0.0
20210605,60402262989318,7081976257832018,104,0,139870,14336,1832,0,14859159114486272,1640084530,0,29052.71911999998,27796.790000000005,0.0,27796.790000000005
20210605,60402262989318,7071907573098300,104,0,9116,644,20,0,618963650035968,15017029,0,337.8261699999997,435.4,0.0,435.4
