process_date,site_id,gid1,trace_has_click,smart_optimization_goal,second_goal,vc_pcvr_bias,exposure_cnt,click_cnt,trace_cnt,active_num,real_cost_micros,gmv
20210605,60003454983821,TME,1,107,0,0.0,0,0,8,0,0.0,0.0
20210605,50104416453989,未分组1,1,405,204,0.0,0,0,87,1,0.0,0.0
20210605,40504400147134,阅文系,0,302,205,13.234180688858032,2268,13,0,0,102.25000000000001,0.0
20210605,90704445965875,IEG,0,10801,0,9820.956751048565,2580,162,24,0,70.09252999999998,0.0
20210605,90805444657273,CSIG,0,204,0,0.7506582736968994,29,2,0,0,0.049999999999999996,0.0
20210605,10406450945135,阅文系,0,205,0,34.61274969577789,1871,6,0,0,18.712559999999993,0.0
20210605,50308424081820,TME,1,204,407,0.0,0,0,5,0,0.0,0.0
20210605,30607480914543,阅文系,0,105,108,599.2977123260498,3868,589,18,0,264.49616000000003,0.0
20210605,20201368893836,TKD,1,106,0,0.0,0,0,285,1,0.0,130.0
20210605,40504315369553,TME,1,204,0,0.0,0,0,1167743,1103,0.0,118111.71
20210605,60305460411544,阅文系,1,402,0,0.0,0,0,1112,0,0.0,0.0
20210605,90301475842282,TME,1,204,205,0.0,0,0,7,0,0.0,0.0
20210605,60304476255988,未分组1,0,301,0,0.0,20,0,0,0,9.439999999999998,0.0
20210605,50002495342288,TME,0,104,204,0.0,20,0,0,0,0.0,0.0
20210605,20201368893836,TKD,1,108,0,0.0,0,0,213,0,0.0,0.0
20210605,90603469797199,TME,1,405,205,0.0,0,0,58,1,0.0,1097.78
20210605,60305460411544,阅文系,0,302,0,1988.572152853012,47654,1975,0,0,646.4036900000002,0.0
20210605,20906306793614,TKD,0,105,10801,0.0,124,0,0,0,0.26,0.0
20210605,50605442246954,IEG,0,105,10801,101.20379102230072,9624,97,3,1,2459.01343,0.0
20210605,70100221174573,CSIG,0,104,10801,650.8157153129578,12329,584,99,0,295.6996600000001,0.0
20210605,60807476850604,TKD,0,315,204,29.0,2066,29,0,0,39.98,0.0
20210605,50308424081820,TME,0,402,0,910.6696299910545,423,24,0,0,3.5272799999999997,0.0
20210605,40109452819930,IEG,1,104,0,0.0,0,0,1,1,0.0,16.3
20210605,20604530875002,TME,0,107,0,0.0,1,0,0,0,0.03,0.0
20210605,50604428212896,TKD,1,104,10801,0.0,0,0,990287,842,0.0,95241.74
20210605,90503492650537,IEG,0,301,108,0.0,121,0,0,0,0.8600000000000002,0.0
20210605,60704472578903,TME,1,104,10801,0.0,0,0,4186,21,0.0,342.0
20210605,40903398619789,TME,1,302,0,0.0,0,0,23755,3501,0.0,1255.54
20210605,70100221174573,CSIG,0,106,0,1.0,39,1,0,0,0.19,0.0
20210605,40706426556602,QQ系,0,205,0,1955807.0707851648,29176,1391,1,0,1045.86798,0.0
20210605,50007452537563,其他,1,301,0,0.0,0,0,268,160,0.0,240.2
20210605,20102414297987,IEG,0,301,108,0.0,40,0,0,0,0.6499999999999999,0.0
20210605,90205493587472,IEG,0,104,105,1.0,38,1,0,0,0.26,0.0
20210605,70601378118790,TME,1,302,0,0.0,0,0,26924,7221,0.0,2979.1
20210605,60305460411544,阅文系,0,412,0,1.2086139917373657,56,1,0,0,0.7493599999999999,0.0
20210605,30005422732564,其他,0,105,0,1.0,494,1,0,0,12.799999999999995,0.0
20210605,70609460544983,IEG,0,204,205,3.0,2143,3,0,0,10.373399999999997,0.0
20210605,90205493587472,IEG,0,405,204,0.0,1,0,0,0,0.09,0.0
20210605,50104416453989,未分组1,1,302,205,0.0,0,0,2,0,0.0,0.0
20210605,40903398619789,TME,1,402,0,0.0,0,0,13,0,0.0,0.0
20210605,10406450945135,阅文系,1,204,0,0.0,0,0,597,4,0.0,650.78
20210605,30607480914543,阅文系,0,104,108,1861.3184104561806,11076,1727,1,0,374.5691999999999,0.0
20210605,30800591023329,TME,1,104,10801,0.0,0,0,34663,22,0.0,0.0
20210605,60402262989318,CSIG,0,406,0,0.0,13,0,0,0,0.43999999999999995,0.0
20210605,20900420119451,QQ系,0,412,0,0.0,3,0,0,0,0.0,0.0
20210605,20900420119451,QQ系,0,10801,0,19.983031153678894,4257,12,0,0,51.740199999999994,0.0
20210605,60402262989318,CSIG,1,10801,0,0.0,0,0,13829,1,0.0,580.0
20210605,20604530875002,TME,0,104,0,378.2504416704178,5115,53,47,3,315.07000000000005,73.7
20210605,80605561822013,IEG,0,205,0,0.0,2,0,0,0,0.01,0.0
20210605,40106476583359,未分组1,1,104,0,0.0,0,0,32238,44,0.0,526.62
20210605,40106476583359,未分组1,0,106,0,2.0,133,2,0,0,4.1,0.0
20210605,70100221174573,CSIG,1,121,0,0.0,0,0,9,0,0.0,0.0
20210605,60005012352827,QQ系,1,10010,0,0.0,0,0,7,0,0.0,0.0
20210605,30400461864295,TME,1,10801,0,0.0,0,0,170,0,0.0,0.0
